"Country, Other","Total cases","New cases","Total deaths","New deaths","Total recovered","New recovered","Active cases","Serious, Critical","Tot Cases/1M pop","Deaths/1M pop","Total tests","Test/1M pop","Population","Continent"
"Tunisia","717,710","+138","25,376","+3","691,184","+153","1,150","58","59,838","2,116","3,180,395","265,160","11,994,233","Africa"
"Bulgaria","697,162","+2,105","28,542","+89","563,574","+2,089","105,046","694","101,419","4,152","6,604,490","960,782","6,874,080","Europe"
"Slovakia","689,618","+9,534","14,503","+85","563,790","+8,265","111,325","585","126,225","2,655","4,613,592","844,454","5,463,400","Europe"
"Lebanon","672,548","+1,892","8,735","+10","633,490","+191","30,323","186","99,167","1,288","4,795,578","707,104","6,781,995","Asia"
"Belarus","656,510","+1,792","5,098","+17","643,786","+2,216","7,626","","69,509","540","10,425,536","1,103,826","9,444,906","Europe"
"Guatemala","618,436","+452","15,956","+13","601,096","+475","1,384","5","33,637","868","3,128,305","170,148","18,385,774","North America"
"Croatia","613,914","+5,709","10,967","+68","570,933","+3,064","32,014","312","150,866","2,695","3,463,550","851,146","4,069,276","Europe"
"Azerbaijan","590,113","+1,795","7,884","+28","556,716","+1,967","25,513","","57,466","768","5,551,849","540,643","10,268,973","Asia"
"Ireland","573,905","+3,790","5,707","+55","444,459","+2,866","123,739","117","114,412","1,138","8,983,297","1,790,890","5,016,107","Europe"
"Costa Rica","566,959","+120","7,305","+6","549,108","+1,088","10,546","77","109,872","1,416","2,715,029","526,150","5,160,184","North America"
"Sri Lanka","564,733","+744","14,372","+26","540,783","+396","9,578","","26,217","667","5,661,108","262,808","21,540,815","Asia"
"Saudi Arabia","549,786","+34","8,837","+1","538,939","+26","2,010","39","15,451","248","31,538,438","886,325","35,583,380","Asia"
"Bolivia","538,647","+1,088","19,188","+17","493,941","+1,020","25,518","220","45,268","1,613","2,593,083","217,923","11,899,063","South America"
"Ecuador","526,870","","33,250","","443,880","","49,740","759","29,233","1,845","2,013,368","111,709","18,023,312","South America"
"Myanmar","522,825","+423","19,111","+7","498,050","+801","5,664","","9,518","348","5,605,747","102,056","54,927,950","Asia"
"Denmark","492,521","+5,120","2,909","+14","403,118","","86,494","61","84,608","500","94,201,944","16,182,609","5,821,184","Europe"
"Panama","477,990","+248","7,367","+2","468,000","+174","2,623","20","108,359","1,670","4,244,336","962,180","4,411,167","North America"
"Lithuania","472,371","+1,925","6,768","+27","437,466","+1,856","28,137","130","177,032","2,536","6,168,854","2,311,928","2,668,273","Europe"
"Paraguay","463,121","+63","16,474","+2","445,856","+63","791","42","63,818","2,270","1,951,099","268,860","7,256,932","South America"
"S. Korea","452,350","+5,120","3,658","+34","398,323","+2,253","50,369","723","8,812","71","15,804,065","307,880","51,331,890","Asia"
"Venezuela","432,514","+569","5,161","+6","419,724","+593","7,629","681","15,272","182","3,359,014","118,603","28,321,416","South America"
